,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,5.9768,28.915,0.207,0.836,-50.94,62.894,
source[T.Twitter],-33.6351,21.856,-1.539,0.125,-76.656,9.386,
dropout,6.0859,9.453,0.644,0.52,-12.522,24.694,
epochs,10.7771,10.317,1.045,0.297,-9.532,31.086,
learning_rate,13.9409,13.735,1.015,0.311,-13.096,40.978,
linear_layers,-4.005,10.786,-0.371,0.711,-25.236,17.226,
n_head,-12.0008,12.563,-0.955,0.34,-36.73,12.728,
rnn_layers,6.2253,14.915,0.417,0.677,-23.134,35.585,
transformer_layers,-3.6353,12.295,-0.296,0.768,-27.836,20.565,
use_attention,-7.3037,9.288,-0.786,0.432,-25.587,10.979,
use_price,-13.2007,9.282,-1.422,0.156,-31.472,5.071,
window_size,8.3734,9.316,0.899,0.37,-9.964,26.711,
"np.power(linear_layers, 2)",-1.2114,12.926,-0.094,0.925,-26.655,24.232,
"np.power(dropout, 2)",-5.4663,8.831,-0.619,0.536,-22.85,11.917,
"np.power(n_head, 2)",8.0221,9.287,0.864,0.388,-10.259,26.303,
"np.power(transformer_layers, 2)",2.7929,11.415,0.245,0.807,-19.677,25.263,
"np.power(epochs, 2)",-10.6822,8.813,-1.212,0.226,-28.029,6.664,
"np.power(window_size, 2)",2.1298,10.351,0.206,0.837,-18.246,22.505,
"np.power(learning_rate, 2)",22.8572,11.974,1.909,0.057,-0.712,46.426,.
"np.power(rnn_layers, 2)",-3.7886,11.057,-0.343,0.732,-25.553,17.976,
