,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,59.7255,43.531,1.372,0.171,-25.951,145.402,
source[T.Twitter],52.6501,45.813,1.149,0.251,-37.518,142.818,
dropout,16.2401,18.84,0.862,0.389,-20.84,53.32,
epochs,32.6361,18.465,1.767,0.078,-3.707,68.979,.
learning_rate,56.2669,27.707,2.031,0.043,1.735,110.799,*
linear_layers,61.9921,32.144,1.929,0.055,-1.273,125.257,.
n_head,-22.0928,18.633,-1.186,0.237,-58.766,14.581,
transformer_layers,17.3661,26.313,0.66,0.51,-34.422,69.155,
use_attention,-40.5844,16.306,-2.489,0.013,-72.677,-8.492,*
use_price,-8.9169,15.014,-0.594,0.553,-38.466,20.633,
window_size,-20.1979,16.539,-1.221,0.223,-52.749,12.354,
"np.power(dropout, 2)",8.0887,12.858,0.629,0.53,-17.219,33.396,
"np.power(epochs, 2)",9.722,16.454,0.591,0.555,-22.663,42.107,
"np.power(n_head, 2)",-4.8567,17.494,-0.278,0.782,-39.288,29.574,
"np.power(learning_rate, 2)",-27.5246,16.32,-1.687,0.093,-59.646,4.596,.
"np.power(transformer_layers, 2)",6.7332,14.56,0.462,0.644,-21.923,35.39,
"np.power(window_size, 2)",-9.6543,13.672,-0.706,0.481,-36.564,17.255,
"np.power(linear_layers, 2)",-30.6071,14.243,-2.149,0.032,-58.639,-2.575,*
