,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,0.1004,0.032,3.095,0.002,0.037,0.164,**
source[T.Twitter],-0.0916,0.034,-2.682,0.008,-0.159,-0.024,**
dropout,-0.0033,0.014,-0.238,0.812,-0.031,0.024,
epochs,-0.0095,0.014,-0.689,0.491,-0.037,0.018,
learning_rate,-0.1921,0.021,-9.297,0.0,-0.233,-0.151,***
linear_layers,-0.1262,0.024,-5.266,0.0,-0.173,-0.079,***
n_head,0.0144,0.014,1.034,0.302,-0.013,0.042,
transformer_layers,-0.0367,0.02,-1.872,0.062,-0.075,0.002,.
use_attention,-0.0117,0.012,-0.961,0.337,-0.036,0.012,
use_price,0.0024,0.011,0.21,0.834,-0.02,0.024,
window_size,-0.0333,0.012,-2.703,0.007,-0.058,-0.009,**
"np.power(dropout, 2)",0.0028,0.01,0.29,0.772,-0.016,0.022,
"np.power(epochs, 2)",-0.0106,0.012,-0.866,0.387,-0.035,0.014,
"np.power(n_head, 2)",-0.0119,0.013,-0.915,0.361,-0.038,0.014,
"np.power(learning_rate, 2)",0.0923,0.012,7.583,0.0,0.068,0.116,***
"np.power(transformer_layers, 2)",0.0055,0.011,0.508,0.612,-0.016,0.027,
"np.power(window_size, 2)",0.0111,0.01,1.087,0.278,-0.009,0.031,
"np.power(linear_layers, 2)",0.0368,0.011,3.462,0.001,0.016,0.058,**
