,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,-0.3855,0.011,-34.438,0.0,-0.407,-0.363,***
source[T.Twitter],-0.0348,0.012,-2.953,0.003,-0.058,-0.012,**
dropout,-0.0107,0.005,-2.207,0.028,-0.02,-0.001,*
epochs,0.0124,0.005,2.618,0.009,0.003,0.022,**
learning_rate,-0.0006,0.007,-0.08,0.937,-0.015,0.013,
linear_layers,-0.0048,0.008,-0.576,0.565,-0.021,0.012,
n_head,-0.002,0.005,-0.426,0.67,-0.011,0.007,
transformer_layers,-0.0165,0.007,-2.44,0.015,-0.03,-0.003,*
use_attention,0.006,0.004,1.443,0.15,-0.002,0.014,
use_price,-0.0209,0.004,-5.411,0.0,-0.028,-0.013,***
window_size,-0.0186,0.004,-4.38,0.0,-0.027,-0.01,***
"np.power(dropout, 2)",-0.0048,0.003,-1.456,0.146,-0.011,0.002,
"np.power(epochs, 2)",-0.002,0.004,-0.474,0.636,-0.01,0.006,
"np.power(n_head, 2)",0.0019,0.004,0.428,0.669,-0.007,0.011,
"np.power(learning_rate, 2)",0.0212,0.004,5.043,0.0,0.013,0.029,***
"np.power(transformer_layers, 2)",0.0132,0.004,3.537,0.0,0.006,0.021,***
"np.power(window_size, 2)",0.0033,0.004,0.932,0.352,-0.004,0.01,
"np.power(linear_layers, 2)",0.0138,0.004,3.777,0.0,0.007,0.021,***
