,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,0.1299,0.064,2.034,0.043,0.004,0.256,*
source[T.Twitter],-0.183,0.067,-2.724,0.007,-0.315,-0.051,**
dropout,0.0075,0.028,0.271,0.787,-0.047,0.062,
epochs,-0.0179,0.027,-0.662,0.508,-0.071,0.035,
learning_rate,-0.4078,0.041,-10.034,0.0,-0.488,-0.328,***
linear_layers,-0.3064,0.047,-6.499,0.0,-0.399,-0.214,***
n_head,0.016,0.027,0.586,0.558,-0.038,0.07,
transformer_layers,-0.1529,0.039,-3.962,0.0,-0.229,-0.077,***
use_attention,0.003,0.024,0.126,0.9,-0.044,0.05,
use_price,-0.0032,0.022,-0.146,0.884,-0.047,0.04,
window_size,-0.0497,0.024,-2.048,0.041,-0.097,-0.002,*
"np.power(dropout, 2)",-0.0032,0.019,-0.17,0.865,-0.04,0.034,
"np.power(epochs, 2)",-0.0065,0.024,-0.27,0.787,-0.054,0.041,
"np.power(n_head, 2)",-0.0086,0.026,-0.334,0.739,-0.059,0.042,
"np.power(learning_rate, 2)",0.1936,0.024,8.086,0.0,0.146,0.241,***
"np.power(transformer_layers, 2)",0.0372,0.021,1.743,0.082,-0.005,0.079,.
"np.power(window_size, 2)",0.0136,0.02,0.676,0.5,-0.026,0.053,
"np.power(linear_layers, 2)",0.1031,0.021,4.934,0.0,0.062,0.144,***
