,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,72.5122,52.173,1.39,0.166,-30.174,175.199,
source[T.Twitter],61.67,54.908,1.123,0.262,-46.4,169.74,
dropout,19.545,22.58,0.866,0.387,-24.897,63.987,
epochs,39.212,22.131,1.772,0.077,-4.346,82.77,.
learning_rate,67.617,33.208,2.036,0.043,2.258,132.975,*
linear_layers,74.929,38.526,1.945,0.053,-0.897,150.755,.
n_head,-26.2211,22.333,-1.174,0.241,-70.175,17.733,
transformer_layers,20.8819,31.537,0.662,0.508,-41.188,82.952,
use_attention,-48.6762,19.543,-2.491,0.013,-87.141,-10.212,*
use_price,-10.8071,17.994,-0.601,0.549,-46.223,24.609,
window_size,-23.6441,19.822,-1.193,0.234,-62.658,15.37,
"np.power(dropout, 2)",9.4691,15.411,0.614,0.539,-20.863,39.801,
"np.power(epochs, 2)",11.907,19.721,0.604,0.546,-26.908,50.722,
"np.power(n_head, 2)",-6.2949,20.967,-0.3,0.764,-47.562,34.972,
"np.power(learning_rate, 2)",-32.4865,19.56,-1.661,0.098,-70.985,6.012,.
"np.power(transformer_layers, 2)",7.7594,17.451,0.445,0.657,-26.587,42.105,
"np.power(window_size, 2)",-11.7701,16.387,-0.718,0.473,-44.022,20.482,
"np.power(linear_layers, 2)",-37.0153,17.071,-2.168,0.031,-70.613,-3.418,*
