,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,150.4637,125.832,1.196,0.233,-97.226,398.153,
model[T.yiyanghkust/finbert-tone],-65.6183,92.053,-0.713,0.477,-246.817,115.58,
source[T.Twitter],-91.7886,89.218,-1.029,0.304,-267.406,83.829,
dropout,29.4772,47.407,0.622,0.535,-63.839,122.793,
epochs,33.5966,51.048,0.658,0.511,-66.887,134.08,
learning_rate,60.6511,49.968,1.214,0.226,-37.708,159.01,
linear_layers,-28.7128,42.452,-0.676,0.499,-112.276,54.85,
rnn_layers,84.0548,42.025,2.0,0.046,1.332,166.778,*
use_attention,12.6033,41.73,0.302,0.763,-69.538,94.745,
use_price,-42.5065,43.278,-0.982,0.327,-127.695,42.682,
window_size,-36.9664,42.381,-0.872,0.384,-120.389,46.456,
"np.power(dropout, 2)",-9.9027,46.019,-0.215,0.83,-100.486,80.681,
"np.power(epochs, 2)",-37.8517,40.161,-0.942,0.347,-116.906,41.202,
"np.power(rnn_layers, 2)",69.6108,54.636,1.274,0.204,-37.935,177.156,
"np.power(learning_rate, 2)",-47.3969,43.444,-1.091,0.276,-132.913,38.12,
"np.power(window_size, 2)",17.1011,41.815,0.409,0.683,-65.208,99.41,
"np.power(linear_layers, 2)",-21.5652,53.977,-0.4,0.69,-127.814,84.683,
