,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,-0.0183,0.081,-0.225,0.822,-0.178,0.142,
model[T.yiyanghkust/finbert-tone],-0.0167,0.06,-0.281,0.779,-0.134,0.1,
source[T.Twitter],-0.0193,0.058,-0.334,0.739,-0.133,0.094,
dropout,0.0362,0.031,1.182,0.238,-0.024,0.097,
epochs,-0.0036,0.033,-0.11,0.912,-0.069,0.061,
learning_rate,-0.1011,0.032,-3.13,0.002,-0.165,-0.038,**
linear_layers,0.02,0.027,0.727,0.468,-0.034,0.074,
rnn_layers,-0.0013,0.027,-0.046,0.963,-0.055,0.052,
use_attention,0.0273,0.027,1.013,0.312,-0.026,0.08,
use_price,-0.0111,0.028,-0.396,0.693,-0.066,0.044,
window_size,-0.0208,0.027,-0.76,0.448,-0.075,0.033,
"np.power(dropout, 2)",-0.0361,0.03,-1.215,0.225,-0.095,0.022,
"np.power(epochs, 2)",-0.0049,0.026,-0.188,0.851,-0.056,0.046,
"np.power(rnn_layers, 2)",0.022,0.035,0.622,0.534,-0.048,0.092,
"np.power(learning_rate, 2)",0.0793,0.028,2.824,0.005,0.024,0.135,**
"np.power(window_size, 2)",-0.0294,0.027,-1.088,0.278,-0.083,0.024,
"np.power(linear_layers, 2)",-0.0106,0.035,-0.302,0.763,-0.079,0.058,
