,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,181.3107,149.562,1.212,0.226,-113.089,475.71,
model[T.yiyanghkust/finbert-tone],-80.5583,109.413,-0.736,0.462,-295.928,134.811,
source[T.Twitter],-111.3387,106.043,-1.05,0.295,-320.075,97.397,
dropout,35.7408,56.347,0.634,0.526,-75.173,146.654,
epochs,40.8194,60.675,0.673,0.502,-78.613,160.252,
learning_rate,71.5184,59.392,1.204,0.23,-45.389,188.426,
linear_layers,-34.9823,50.458,-0.693,0.489,-134.304,64.34,
rnn_layers,101.4801,49.951,2.032,0.043,3.157,199.803,*
use_attention,16.3674,49.599,0.33,0.742,-81.264,113.999,
use_price,-49.9458,51.44,-0.971,0.332,-151.2,51.308,
window_size,-45.4638,50.373,-0.903,0.368,-144.618,53.691,
"np.power(dropout, 2)",-11.1289,54.697,-0.203,0.839,-118.795,96.537,
"np.power(epochs, 2)",-45.4856,47.735,-0.953,0.341,-139.448,48.477,
"np.power(rnn_layers, 2)",82.4382,64.939,1.269,0.205,-45.389,210.265,
"np.power(learning_rate, 2)",-56.1024,51.637,-1.086,0.278,-157.746,45.541,
"np.power(window_size, 2)",19.2685,49.701,0.388,0.699,-78.563,117.1,
"np.power(linear_layers, 2)",-26.2689,64.156,-0.409,0.683,-152.554,100.016,
