,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,276.8559,765.619,0.362,0.718,-1229.953,1783.665,
source[T.Twitter],602.8164,453.484,1.329,0.185,-289.682,1495.315,
dropout,-157.5199,233.363,-0.675,0.5,-616.801,301.761,
epochs,135.2208,244.783,0.552,0.581,-346.535,616.976,
learning_rate,54.4572,223.159,0.244,0.807,-384.741,493.655,
linear_layers,203.0496,235.077,0.864,0.388,-259.604,665.703,
rnn_layers,228.0756,226.602,1.007,0.315,-217.899,674.05,
use_attention,-306.5561,222.217,-1.38,0.169,-743.9,130.788,
use_price,-160.0863,222.253,-0.72,0.472,-597.501,277.328,
window_size,-254.8027,221.304,-1.151,0.251,-690.35,180.745,
"np.power(dropout, 2)",-341.9784,265.414,-1.288,0.199,-864.337,180.381,
"np.power(epochs, 2)",-268.808,258.946,-1.038,0.3,-778.438,240.822,
"np.power(rnn_layers, 2)",104.9846,314.722,0.334,0.739,-514.417,724.387,
"np.power(learning_rate, 2)",-279.4688,258.453,-1.081,0.28,-788.128,229.191,
"np.power(window_size, 2)",239.6198,297.532,0.805,0.421,-345.95,825.19,
"np.power(linear_layers, 2)",247.6345,343.825,0.72,0.472,-429.045,924.314,
