,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,0.0111,0.039,0.287,0.774,-0.065,0.087,
source[T.Twitter],-0.0217,0.023,-0.948,0.344,-0.067,0.023,
dropout,0.0014,0.012,0.122,0.903,-0.022,0.025,
epochs,-0.0201,0.012,-1.623,0.106,-0.044,0.004,
learning_rate,-0.0309,0.011,-2.738,0.007,-0.053,-0.009,**
linear_layers,-0.0056,0.012,-0.47,0.639,-0.029,0.018,
rnn_layers,-0.0019,0.011,-0.163,0.87,-0.024,0.021,
use_attention,0.0051,0.011,0.452,0.652,-0.017,0.027,
use_price,-0.0144,0.011,-1.283,0.201,-0.037,0.008,
window_size,0.0098,0.011,0.873,0.383,-0.012,0.032,
"np.power(dropout, 2)",-0.0229,0.013,-1.706,0.089,-0.049,0.004,.
"np.power(epochs, 2)",-0.0037,0.013,-0.284,0.777,-0.029,0.022,
"np.power(rnn_layers, 2)",0.0113,0.016,0.711,0.478,-0.02,0.043,
"np.power(learning_rate, 2)",0.0261,0.013,1.997,0.047,0.0,0.052,*
"np.power(window_size, 2)",0.0308,0.015,2.052,0.041,0.001,0.06,*
"np.power(linear_layers, 2)",-0.0293,0.017,-1.685,0.093,-0.063,0.005,.
