,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,-0.3925,0.017,-23.749,0.0,-0.425,-0.36,***
source[T.Twitter],0.0295,0.01,3.017,0.003,0.01,0.049,**
dropout,-0.0019,0.005,-0.368,0.713,-0.012,0.008,
epochs,0.0449,0.005,8.498,0.0,0.035,0.055,***
learning_rate,0.0496,0.005,10.298,0.0,0.04,0.059,***
linear_layers,0.027,0.005,5.312,0.0,0.017,0.037,***
rnn_layers,0.006,0.005,1.223,0.222,-0.004,0.016,
use_attention,-0.0076,0.005,-1.574,0.117,-0.017,0.002,
use_price,-0.0034,0.005,-0.705,0.481,-0.013,0.006,
window_size,0.0118,0.005,2.464,0.014,0.002,0.021,*
"np.power(dropout, 2)",-0.013,0.006,-2.261,0.025,-0.024,-0.002,*
"np.power(epochs, 2)",-0.0062,0.006,-1.113,0.267,-0.017,0.005,
"np.power(rnn_layers, 2)",-0.0087,0.007,-1.281,0.201,-0.022,0.005,
"np.power(learning_rate, 2)",0.0033,0.006,0.596,0.551,-0.008,0.014,
"np.power(window_size, 2)",0.0004,0.006,0.067,0.947,-0.012,0.013,
"np.power(linear_layers, 2)",0.0016,0.007,0.214,0.831,-0.013,0.016,
