,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,-0.0245,0.083,-0.295,0.768,-0.188,0.139,
source[T.Twitter],0.0151,0.049,0.306,0.76,-0.082,0.112,
dropout,-0.0054,0.025,-0.212,0.832,-0.055,0.045,
epochs,-0.0338,0.027,-1.271,0.205,-0.086,0.019,
learning_rate,-0.0281,0.024,-1.159,0.247,-0.076,0.02,
linear_layers,-0.0267,0.026,-1.044,0.297,-0.077,0.024,
rnn_layers,0.0146,0.025,0.591,0.555,-0.034,0.063,
use_attention,0.0284,0.024,1.175,0.241,-0.019,0.076,
use_price,-0.019,0.024,-0.788,0.431,-0.067,0.029,
window_size,-0.0063,0.024,-0.262,0.794,-0.054,0.041,
"np.power(dropout, 2)",-0.0271,0.029,-0.939,0.349,-0.084,0.03,
"np.power(epochs, 2)",0.0088,0.028,0.314,0.754,-0.047,0.064,
"np.power(rnn_layers, 2)",0.0135,0.034,0.394,0.694,-0.054,0.081,
"np.power(learning_rate, 2)",0.0198,0.028,0.705,0.481,-0.035,0.075,
"np.power(window_size, 2)",0.047,0.032,1.453,0.147,-0.017,0.111,
"np.power(linear_layers, 2)",-0.0336,0.037,-0.898,0.37,-0.107,0.04,
