,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,330.901,916.036,0.361,0.718,-1471.944,2133.746,
source[T.Twitter],721.4678,542.578,1.33,0.185,-346.376,1789.312,
dropout,-188.4815,279.211,-0.675,0.5,-737.995,361.033,
epochs,161.7527,292.874,0.552,0.581,-414.651,738.156,
learning_rate,65.072,267.002,0.244,0.808,-460.413,590.558,
linear_layers,242.93,281.261,0.864,0.388,-310.619,796.479,
rnn_layers,272.8652,271.122,1.006,0.315,-260.728,806.458,
use_attention,-366.7147,265.875,-1.379,0.169,-889.982,156.553,
use_price,-191.4241,265.918,-0.72,0.472,-714.775,331.927,
window_size,-304.9841,264.783,-1.152,0.25,-826.102,216.133,
"np.power(dropout, 2)",-409.0797,317.558,-1.288,0.199,-1034.064,215.905,
"np.power(epochs, 2)",-321.5394,309.82,-1.038,0.3,-931.294,288.215,
"np.power(rnn_layers, 2)",125.6332,376.554,0.334,0.739,-615.46,866.726,
"np.power(learning_rate, 2)",-334.5441,309.23,-1.082,0.28,-943.137,274.049,
"np.power(window_size, 2)",286.6091,355.986,0.805,0.421,-414.005,987.224,
"np.power(linear_layers, 2)",296.351,411.374,0.72,0.472,-513.272,1105.974,
