,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,276.9015,766.607,0.361,0.718,-1231.874,1785.677,
source[T.Twitter],609.5956,454.695,1.341,0.181,-285.3,1504.491,
dropout,-164.9727,234.648,-0.703,0.483,-626.788,296.843,
epochs,138.0671,245.774,0.562,0.575,-345.646,621.781,
learning_rate,59.7273,223.895,0.267,0.79,-380.926,500.38,
linear_layers,204.5824,236.576,0.865,0.388,-261.029,670.194,
rnn_layers,231.9299,226.974,1.022,0.308,-214.782,678.641,
use_attention,-304.2134,222.675,-1.366,0.173,-742.465,134.038,
use_price,-163.5811,222.924,-0.734,0.464,-602.322,275.16,
window_size,-254.1807,222.033,-1.145,0.253,-691.168,182.807,
"np.power(rnn_layers, 2)",107.3558,314.97,0.341,0.733,-512.543,727.255,
"np.power(window_size, 2)",233.6773,299.721,0.78,0.436,-356.21,823.565,
"np.power(linear_layers, 2)",250.9536,343.667,0.73,0.466,-425.426,927.333,
"np.power(learning_rate, 2)",-278.8381,258.862,-1.077,0.282,-788.31,230.634,
"np.power(epochs, 2)",-275.0785,260.737,-1.055,0.292,-788.241,238.084,
"np.power(dropout, 2)",-337.0959,265.261,-1.271,0.205,-859.162,184.97,
