,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,0.0108,0.039,0.279,0.781,-0.065,0.087,
source[T.Twitter],-0.023,0.023,-1.004,0.316,-0.068,0.022,
dropout,0.0021,0.012,0.178,0.859,-0.021,0.025,
epochs,-0.0206,0.012,-1.659,0.098,-0.045,0.004,.
learning_rate,-0.0317,0.011,-2.809,0.005,-0.054,-0.009,**
linear_layers,-0.0061,0.012,-0.509,0.611,-0.03,0.017,
rnn_layers,-0.0029,0.011,-0.25,0.803,-0.025,0.02,
use_attention,0.0046,0.011,0.412,0.68,-0.017,0.027,
use_price,-0.0138,0.011,-1.224,0.222,-0.036,0.008,
window_size,0.0096,0.011,0.855,0.393,-0.012,0.032,
"np.power(rnn_layers, 2)",0.0108,0.016,0.682,0.496,-0.02,0.042,
"np.power(window_size, 2)",0.0322,0.015,2.132,0.034,0.002,0.062,*
"np.power(linear_layers, 2)",-0.0299,0.017,-1.729,0.085,-0.064,0.004,.
"np.power(learning_rate, 2)",0.026,0.013,1.989,0.048,0.0,0.052,*
"np.power(epochs, 2)",-0.0027,0.013,-0.205,0.838,-0.029,0.023,
"np.power(dropout, 2)",-0.0235,0.013,-1.76,0.079,-0.05,0.003,.
