,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,-0.3934,0.016,-24.255,0.0,-0.425,-0.361,***
source[T.Twitter],0.0279,0.01,2.904,0.004,0.009,0.047,**
dropout,-0.0009,0.005,-0.18,0.858,-0.011,0.009,
epochs,0.0444,0.005,8.546,0.0,0.034,0.055,***
learning_rate,0.0488,0.005,10.298,0.0,0.039,0.058,***
linear_layers,0.026,0.005,5.19,0.0,0.016,0.036,***
rnn_layers,0.0049,0.005,1.026,0.306,-0.005,0.014,
use_attention,-0.0081,0.005,-1.719,0.087,-0.017,0.001,.
use_price,-0.0026,0.005,-0.546,0.586,-0.012,0.007,
window_size,0.0115,0.005,2.456,0.015,0.002,0.021,*
"np.power(rnn_layers, 2)",-0.0093,0.007,-1.393,0.165,-0.022,0.004,
"np.power(window_size, 2)",0.002,0.006,0.317,0.751,-0.01,0.014,
"np.power(linear_layers, 2)",0.0006,0.007,0.089,0.929,-0.014,0.015,
"np.power(learning_rate, 2)",0.0032,0.005,0.58,0.562,-0.008,0.014,
"np.power(epochs, 2)",-0.005,0.006,-0.9,0.369,-0.016,0.006,
"np.power(dropout, 2)",-0.0138,0.006,-2.46,0.014,-0.025,-0.003,*
