,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,-0.0279,0.081,-0.347,0.729,-0.186,0.131,
source[T.Twitter],0.0047,0.048,0.099,0.921,-0.089,0.099,
dropout,0.0014,0.025,0.057,0.955,-0.047,0.05,
epochs,-0.0375,0.026,-1.452,0.148,-0.088,0.013,
learning_rate,-0.0335,0.024,-1.426,0.155,-0.08,0.013,
linear_layers,-0.0324,0.025,-1.305,0.193,-0.081,0.016,
rnn_layers,0.0072,0.024,0.301,0.763,-0.04,0.054,
use_attention,0.0248,0.023,1.061,0.289,-0.021,0.071,
use_price,-0.0138,0.023,-0.588,0.557,-0.06,0.032,
window_size,-0.008,0.023,-0.341,0.733,-0.054,0.038,
"np.power(rnn_layers, 2)",0.0097,0.033,0.292,0.77,-0.055,0.075,
"np.power(window_size, 2)",0.0574,0.031,1.824,0.069,-0.005,0.119,.
"np.power(linear_layers, 2)",-0.0396,0.036,-1.096,0.274,-0.111,0.031,
"np.power(learning_rate, 2)",0.0188,0.027,0.693,0.489,-0.035,0.072,
"np.power(epochs, 2)",0.0172,0.027,0.626,0.532,-0.037,0.071,
"np.power(dropout, 2)",-0.0328,0.028,-1.178,0.24,-0.088,0.022,
