,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,330.9596,917.218,0.361,0.718,-1474.237,2136.157,
source[T.Twitter],729.5901,544.027,1.341,0.181,-341.121,1800.301,
dropout,-197.4052,280.748,-0.703,0.483,-749.951,355.141,
epochs,165.1619,294.06,0.562,0.575,-413.584,743.908,
learning_rate,71.3843,267.883,0.266,0.79,-455.842,598.61,
linear_layers,244.77,283.055,0.865,0.388,-312.318,801.857,
rnn_layers,277.4844,271.566,1.022,0.308,-256.99,811.959,
use_attention,-363.908,266.423,-1.366,0.173,-888.261,160.445,
use_price,-195.611,266.72,-0.733,0.464,-720.549,329.327,
window_size,-304.2382,265.654,-1.145,0.253,-827.078,218.602,
"np.power(rnn_layers, 2)",128.4743,376.85,0.341,0.733,-613.213,870.162,
"np.power(window_size, 2)",279.4877,358.606,0.779,0.436,-426.292,985.268,
"np.power(linear_layers, 2)",300.3286,411.186,0.73,0.466,-508.935,1109.593,
"np.power(learning_rate, 2)",-333.7884,309.72,-1.078,0.282,-943.354,275.777,
"np.power(epochs, 2)",-329.0505,311.963,-1.055,0.292,-943.031,284.93,
"np.power(dropout, 2)",-403.232,317.375,-1.271,0.205,-1027.865,221.401,
