,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,0.4166,0.018,22.579,0.0,0.38,0.453,***
source[T.Twitter],0.0437,0.043,1.015,0.311,-0.041,0.128,
dropout,-0.0231,0.009,-2.708,0.007,-0.04,-0.006,**
epochs,0.0736,0.01,7.556,0.0,0.054,0.093,***
learning_rate,0.0008,0.008,0.101,0.919,-0.014,0.016,
linear_layers,-0.0092,0.008,-1.198,0.232,-0.024,0.006,
rnn_layers,-0.018,0.008,-2.186,0.03,-0.034,-0.002,*
use_attention,-0.0013,0.008,-0.161,0.872,-0.018,0.015,
use_price,0.0818,0.008,10.802,0.0,0.067,0.097,***
window_size,-0.1132,0.011,-9.871,0.0,-0.136,-0.091,***
"np.power(dropout, 2)",-0.0067,0.006,-1.044,0.298,-0.019,0.006,
"np.power(epochs, 2)",0.0054,0.01,0.53,0.596,-0.015,0.026,
"np.power(rnn_layers, 2)",-0.0083,0.008,-1.041,0.299,-0.024,0.007,
"np.power(learning_rate, 2)",-0.014,0.006,-2.339,0.02,-0.026,-0.002,*
"np.power(window_size, 2)",0.0181,0.003,6.086,0.0,0.012,0.024,***
"np.power(linear_layers, 2)",-0.0024,0.007,-0.331,0.741,-0.016,0.012,
