,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,1.2333,0.038,32.732,0.0,1.159,1.307,***
source[T.Twitter],0.0949,0.088,1.079,0.281,-0.078,0.268,
dropout,-0.0594,0.017,-3.412,0.001,-0.094,-0.025,**
epochs,0.1407,0.02,7.078,0.0,0.102,0.18,***
learning_rate,-0.0016,0.016,-0.103,0.918,-0.033,0.029,
linear_layers,-0.0451,0.016,-2.873,0.004,-0.076,-0.014,**
rnn_layers,-0.0485,0.017,-2.893,0.004,-0.082,-0.016,**
use_attention,-0.0009,0.017,-0.051,0.959,-0.034,0.032,
use_price,0.1537,0.015,9.944,0.0,0.123,0.184,***
window_size,-0.2075,0.023,-8.865,0.0,-0.254,-0.161,***
"np.power(dropout, 2)",-0.0113,0.013,-0.859,0.391,-0.037,0.015,
"np.power(epochs, 2)",-0.0003,0.021,-0.014,0.989,-0.041,0.041,
"np.power(rnn_layers, 2)",0.0032,0.016,0.197,0.844,-0.029,0.035,
"np.power(learning_rate, 2)",-0.0344,0.012,-2.822,0.005,-0.058,-0.01,**
"np.power(window_size, 2)",0.0332,0.006,5.454,0.0,0.021,0.045,***
"np.power(linear_layers, 2)",-0.0233,0.015,-1.593,0.112,-0.052,0.005,
