,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,1.2517,0.052,24.09,0.0,1.149,1.354,***
source[T.Twitter],0.0894,0.121,0.738,0.461,-0.149,0.328,
dropout,-0.0952,0.024,-3.968,0.0,-0.142,-0.048,***
epochs,0.2361,0.027,8.612,0.0,0.182,0.29,***
learning_rate,0.043,0.022,1.983,0.048,0.0,0.086,*
linear_layers,-0.0234,0.022,-1.08,0.281,-0.066,0.019,
rnn_layers,-0.099,0.023,-4.279,0.0,-0.144,-0.053,***
use_attention,0.0011,0.023,0.047,0.963,-0.044,0.047,
use_price,0.246,0.021,11.543,0.0,0.204,0.288,***
window_size,-0.3706,0.032,-11.48,0.0,-0.434,-0.307,***
"np.power(rnn_layers, 2)",0.0169,0.022,0.752,0.452,-0.027,0.061,
"np.power(window_size, 2)",0.0607,0.008,7.231,0.0,0.044,0.077,***
"np.power(linear_layers, 2)",-0.0346,0.02,-1.712,0.088,-0.074,0.005,.
"np.power(learning_rate, 2)",-0.0482,0.017,-2.868,0.004,-0.081,-0.015,**
"np.power(epochs, 2)",0.0061,0.029,0.213,0.831,-0.05,0.063,
"np.power(dropout, 2)",-0.0098,0.018,-0.538,0.591,-0.046,0.026,
