,coef,std err,t,P>|t|,[0.025,0.975],sgnf_stars
Intercept,0.7941,0.025,32.363,0.0,0.746,0.842,***
source[T.Twitter],0.0669,0.057,1.168,0.244,-0.046,0.18,
dropout,-0.0324,0.011,-2.854,0.005,-0.055,-0.01,**
epochs,0.0775,0.013,5.989,0.0,0.052,0.103,***
learning_rate,-0.0125,0.01,-1.216,0.225,-0.033,0.008,
linear_layers,-0.0336,0.01,-3.286,0.001,-0.054,-0.013,**
rnn_layers,-0.0293,0.011,-2.687,0.008,-0.051,-0.008,**
use_attention,-0.0018,0.011,-0.168,0.867,-0.023,0.02,
use_price,0.0851,0.01,8.451,0.0,0.065,0.105,***
window_size,-0.1029,0.015,-6.75,0.0,-0.133,-0.073,***
"np.power(rnn_layers, 2)",0.0028,0.011,0.262,0.793,-0.018,0.024,
"np.power(window_size, 2)",0.0158,0.004,3.983,0.0,0.008,0.024,***
"np.power(linear_layers, 2)",-0.0104,0.01,-1.091,0.276,-0.029,0.008,
"np.power(learning_rate, 2)",-0.0195,0.008,-2.458,0.015,-0.035,-0.004,*
"np.power(epochs, 2)",-0.0034,0.014,-0.25,0.802,-0.03,0.023,
"np.power(dropout, 2)",-0.0083,0.009,-0.963,0.336,-0.025,0.009,
